customer_id,first_name,last_name,email,country,segment,signup_date,credit_limit,active_flag
CUST0000001,Linda,Johnson,linda.johnson760@example.com,France,Wholesale,2020-07-03,2846.34,Y
CUST0000002,Michael,Wright,michael.wright90@example.com,Brazil,Corporate,2018-05-11,15550.61,Y
CUST0000003,Susan,Anderson,susan.anderson518@example.com,Brazil,Retail,2024-04-17,7083.73,Y
CUST0000004,Liam,Clark,liam.clark226@example.com,China,VIP,2021-02-13,5064.71,Y
CUST0000005,James,Hernandez,james.hernandez715@example.com,India,E-Commerce,2021-02-12,1348.12,Y
CUST0000006,Fatima,Miller,fatima.miller95@example.com,India,Retail,2022-01-10,1347.98,Y
CUST0000007,Thomas,Williams,thomas.williams748@example.com,China,VIP,2019-05-27,799.19,N
CUST0000008,Raj,Garcia,raj.garcia566@example.com,France,VIP,2022-01-21,10556.15,Y
CUST0000009,John,Williams,john.williams678@example.com,Germany,E-Commerce,2018-11-23,5095.41,Y
CUST0000010,Michael,Harris,michael.harris285@example.com,China,E-Commerce,2019-10-29,6656.25,Y
CUST0000011,Susan,Moore,,South Africa,Retail,2024-10-31,604.0,Y
CUST0000012,Liam,Thomas,liam.thomas168@example.com,China,Corporate,2021-01-10,18017.79,N
CUST0000013,Olivia,Anderson,olivia.anderson702@example.com,UAE,Retail,2020-07-27,9432.15,Y
CUST0000014,Ahmed,Sanchez,ahmed.sanchez275@example.com,Canada,Wholesale,2024-05-12,1693.44,Y
CUST0000015,Ahmed,Wilson,ahmed.wilson672@example.com,China,Corporate,2025-03-18,1503.39,Y
CUST0000016,Thomas,Rodriguez,thomas.rodriguez253@example.com,Mexico,VIP,2024-01-17,1513.06,Y
CUST0000017,Sofia,Sanchez,sofia.sanchez371@example.com,Germany,Wholesale,2023-09-19,2313.77,Y
CUST0000018,Patricia,Davis,patricia.davis157@example.com,Australia,Wholesale,2025-08-19,4219.64,Y
CUST0000019,John,Harris,john.harris391@example.com,Brazil,Corporate,2023-12-08,3327.69,Y
CUST0000020,Olivia,Smith,olivia.smith697@example.com,Mexico,Retail,2025-08-24,2221.11,Y
CUST0000021,Sarah,Perez,sarah.perez115@example.com,France,Corporate,2019-10-10,5231.85,Y
CUST0000022,Thomas,Allen,thomas.allen781@example.com,UK,VIP,2019-03-12,1251.17,Y
CUST0000023,Karen,Allen,karen.allen624@example.com,Germany,Wholesale,2022-03-12,2227.58,Y
CUST0000024,Liam,King,liam.king941@example.com,USA,VIP,2021-08-20,2781.39,Y
CUST0000025,Linda,,linda.white900@example.com,Singapore,E-Commerce,2020-09-07,3544.67,Y
CUST0000026,Jennifer,Garcia,jennifer.garcia750@example.com,China,Retail,2026-07-13,8189.68,Y
CUST0000027,William,Rodriguez,william.rodriguez676@example.com,China,VIP,2019-11-08,1613.68,Y
CUST0000028,Sofia,Wilson,sofia.wilson952@example.com,Japan,Wholesale,2025-12-30,4110.15,Y
CUST0000029,Mei,Lewis,mei.lewis922@example.com,Japan,Corporate,2019-05-11,4987.52,Y
CUST0000030,John,Perez,john.perez22@example.com,Brazil,VIP,2020-07-31,737.82,Y
CUST0000031,James,Jones,james.jones725@example.com,Australia,Retail,2020-07-26,5176.67,Y
CUST0000032,Robert,Perez,robert.perez73@example.com,Japan,Wholesale,2021-02-14,1434.81,Y
CUST0000033,Susan,Wright,susan.wright136@example.com,Mexico,VIP,2024-06-18,836.32,Y
CUST0000034,Yuki,Clark,yuki.clark195@example.com,Canada,Retail,2025-05-23,15368.44,Y
CUST0000035,Sofia,Clark,sofia.clark479@example.com,Singapore,Retail,2025-07-21,17353.15,Y
CUST0000036,Michael,Brown,michael.brown413@example.com,Mexico,E-Commerce,2019-03-24,8761.66,Y
CUST0000037,Richard,Wright,richard.wright460@example.com,UK,Corporate,2020-01-22,2316.44,Y
CUST0000038,Jessica,Jones,jessica.jones454@example.com,Saudi Arabia,VIP,2019-02-06,1013.89,Y
CUST0000039,Liam,Smith,liam.smith993@example.com,Canada,Wholesale,2019-11-13,6263.75,Y
CUST0000040,Yuki,Wilson,yuki.wilson886@example.com,India,Retail,2019-11-06,3400.45,Y
CUST0000041,Raj,Taylor,raj.taylor949@example.com,Saudi Arabia,Corporate,2021-03-14,1150.76,Y
CUST0000042,Olivia,Young,olivia.young159@example.com,Germany,E-Commerce,2020-06-10,3917.74,N
CUST0000043,Liam,Brown,,UAE,Retail,2018-07-25,674.97,Y
CUST0000044,Omar,King,omar.king162@example.com,USA,VIP,2018-11-25,12502.11,Y
CUST0000045,John,Jones,john.jones692@example.com,Singapore,Wholesale,2022-07-12,1997.29,Y
CUST0000046,Jessica,Williams,jessica.williams635@example.com,Canada,Corporate,2025-05-16,5931.28,Y
CUST0000047,Layla,Lee,layla.lee958@example.com,France,Wholesale,2025-07-06,2367.73,Y
CUST0000048,Jessica,Taylor,jessica.taylor406@example.com,UK,E-Commerce,2023-02-16,4170.55,Y
CUST0000049,John,Smith,john.smith470@example.com,Brazil,VIP,2019-02-14,4456.12,Y
CUST0000050,Susan,Allen,susan.allen272@example.com,UK,E-Commerce,2018-10-09,1521.94,Y
CUST0000051,Mei,Jackson,mei.jackson162@example.com,China,VIP,2025-11-21,17964.04,Y
CUST0000052,Layla,Smith,layla.smith684@example.com,Singapore,VIP,2021-05-11,7961.23,N
